frame,time_s,side,facing_direction,knee_internal_angle_deg,knee_flexion_deg,hip_internal_angle_deg,hip_flexion_deg,trunk_flexion_deg,ankle_internal_angle_deg,ankle_dorsiflexion_deg,foot_inclination_deg,foot_inclination_relative_deg,visibility,visibility_min
113,6.061203956604004,left,left,139.5456242598831,40.45437574011689,142.13620706349127,37.86379293650873,11.137231305093813,83.48435523742715,9.889931935390635,7.2121693461291265,2.896429416653234,OK,0.9685027003288269
114,6.1094067096710205,left,left,141.38608905096166,38.61391094903834,143.95765300277486,36.04234699722514,10.206252283450123,85.93193325969825,7.442353913119533,8.709749494961564,4.394009565485675,OK,0.9686172604560852
115,6.155534505844116,left,left,153.11304757619564,26.88695242380436,154.05626900516998,25.94373099483002,7.682542888809738,92.2493410051601,1.1249461676576828,10.875105322944218,6.55936539346834,OK,0.9688301682472229
116,6.195972442626953,left,left,155.83825366876414,24.16174633123586,156.4394725329495,23.56052746705049,6.966274552140719,92.43223680498151,0.9420503678362735,9.99973022130761,5.683990291831719,OK,0.9670088291168213
117,6.237743139266968,left,left,166.49680332682786,13.503196673172141,167.63826253997823,12.361737460021772,3.6942216032346096,95.29332392935787,-1.9190367565400805,10.129004745742876,5.813264816267008,OK,0.9656437635421753
118,6.280833005905151,left,left,168.6601865095247,11.339813490475308,170.20384036616778,9.796159633832218,2.5221781120963054,98.37896425874851,-5.004677085930723,12.444796227487888,8.129056298012017,OK,0.9636088013648987
119,6.319226503372192,left,left,175.8163461552407,4.183653844759306,178.75104008337203,1.2489599166279675,-0.7284823906242055,99.7338787736017,-6.359591600783915,11.940090311108822,7.624350381632951,OK,0.9587176442146301
120,6.3676581382751465,left,left,178.9952388787996,1.0047611212004028,176.25360964276902,-3.746390357230979,-3.0466978454055402,98.3387563542145,-4.964469181396709,10.043209987240308,5.727470057764435,OK,0.9533920884132385
121,6.413820266723633,left,left,178.78043893617425,1.2195610638257506,175.0505412355852,-4.9494587644148,-4.014749769135645,96.07535316870683,-2.7010659958890386,8.229623227811755,3.913883298335861,OK,0.9461172819137573
122,6.46648097038269,left,left,179.65196935287932,0.3480306471206802,173.58381014908304,-6.416189850916965,-4.6040007559504765,94.82802554891431,-1.4537383760965241,6.988245291001484,2.6725053615255945,OK,0.939630925655365
123,6.508972406387329,left,left,179.56004271327947,0.4399572867205279,173.85339128306848,-6.146608716931524,-4.34725599861971,93.85478938638143,-0.4805022135636392,6.094099391413775,1.778359461937896,OK,0.9319446086883545
124,6.545130014419556,left,left,179.40029836857963,-0.5997016314203734,173.1677189801894,-6.832281019810608,-4.434192493999045,91.15421294380663,2.2200742290111606,2.9525998381978042,-1.3631400912780691,OK,0.9240111708641052
125,6.599562644958496,left,left,179.32206378133785,-0.677936218662154,173.1013740463925,-6.898625953607507,-4.406797832905382,90.12806587330587,3.246221299511916,1.9419577753458428,-2.3737821541300264,OK,0.9182380437850952
126,6.638077974319458,left,left,179.90407173313173,0.09592826686827038,173.6795257318711,-6.320474268128891,-4.271831188629882,89.2700743963554,4.10421277646239,1.4146457427226904,-2.9010941867531983,OK,0.910635232925415
127,6.681285619735718,left,left,179.37214105230396,0.6278589476960406,173.8777567098488,-6.122243290151204,-4.297252042303694,88.53178290865927,4.842504264158521,0.9846331042028309,-3.3311068252730536,OK,0.905500054359436
